iter	Passed	Remaining
859	3885	632
860	3886	627
861	3888	622
862	3890	617
863	3891	612
864	3893	607
865	3898	603
866	3901	598
867	3902	593
868	3904	588
869	3905	583
870	3907	578
871	3908	573
872	3919	570
873	3922	565
874	3924	560
875	3935	557
876	3938	552
877	3967	551
878	4117	566
879	4132	563
880	4135	558
881	4138	553
882	4146	549
883	4156	545
884	4179	543
885	4182	538
886	4185	533
887	4196	529
888	4202	524
889	4218	521
890	4228	517
891	4231	512
892	4241	508
893	4244	503
894	4246	498
895	4249	493
896	4250	488
897	4256	483
898	4257	478
899	4259	473
900	4261	468
901	4264	463
902	4269	458
903	4272	453
904	4278	449
905	4279	444
906	4285	439
907	4288	434
908	4291	429
909	4294	424
910	4308	420
911	4318	416
912	4323	411
913	4325	407
914	4332	402
915	4334	397
916	4336	392
917	4337	387
918	4339	382
919	4344	377
920	4354	373
921	4360	368
922	4368	364
923	4376	360
924	4382	355
925	4383	350
926	4385	345
927	4386	340
928	4390	335
929	4391	330
930	4393	325
931	4395	320
932	4397	315
933	4404	311
934	4407	306
935	4410	301
936	4413	296
937	4417	292
938	4421	287
939	4426	282
940	4433	277
941	4436	273
942	4439	268
943	4445	263
944	4462	259
945	4465	254
946	4467	250
947	4471	245
948	4483	240
949	4485	236
950	4487	231
951	4488	226
952	4498	221
953	4502	217
954	4511	212
955	4516	207
956	4517	202
957	4519	198
958	4524	193
959	4526	188
960	4527	183
961	4537	179
962	4539	174
963	4542	169
964	4547	164
965	4552	160
966	4556	155
967	4564	150
968	4568	146
969	4569	141
970	4571	136
971	4581	131
972	4585	127
973	4587	122
974	4594	117
975	4598	113
976	4599	108
977	4601	103
978	4604	98
979	4612	94
980	4616	89
981	4619	84
982	4626	80
983	4628	75
984	4629	70
985	4632	65
986	4634	61
987	4644	56
988	4650	51
989	4659	47
990	4660	42
991	4662	37
992	4664	32
993	4665	28
994	4672	23
995	4675	18
996	4677	14
997	4679	9
998	4680	4
999	4682	0
